name,lat,lon,O+,A+,B+,AB+,O-,A-,B-,AB-,expiry_dates
Government General Hospital Blood Bank,16.299747,80.443689,6,4,4,1,4,2,4,6,"['2025-11-03', '2025-11-13']"
Indian Red Cross Society,16.306653,80.43654,2,6,6,2,5,3,6,4,"['2025-10-30', '2025-11-11']"
Indian Red Cross Society Blood Bank ,16.306653,80.43654,6,1,2,4,1,4,3,5,"['2025-10-26', '2025-11-12']"
Lions Club of Guntur Vision Blood Bank,0.0,0.0,5,5,4,5,6,6,2,6,"['2025-10-27', '2025-11-19']"
Padmavathi Day & Night Blood Bank,0.0,0.0,6,5,6,4,1,1,3,1,"['2025-11-03', '2025-11-18']"
M/s. Needs Blood Bank ,16.29882,80.448888,6,6,6,1,1,2,6,1,"['2025-11-06', '2025-11-11']"
M/s. Sri Lakshmi Maternity & Surgical Nursing Home Blood Bank ,0.0,0.0,4,4,4,2,6,6,6,1,"['2025-10-31', '2025-11-19']"
Saint Joseph General Hospital Blood Bank,16.297514,80.440648,2,4,5,6,1,4,3,3,"['2025-10-25', '2025-11-22']"
NTR Memorial Trust Blood Bank,0.0,0.0,3,2,3,6,5,6,2,6,"['2025-10-28', '2025-11-14']"
Katuri Medical College and Hospital Blood Bank ,16.227872,80.30947,3,5,2,3,4,3,4,2,"['2025-11-01', '2025-11-22']"
NRI Medical College and General Hospital Blood Bank,16.413675,80.555675,6,1,5,4,6,2,6,2,"['2025-11-07', '2025-11-23']"
Manipal Hospital Bloodbank,16.484433,80.617219,2,2,2,5,2,3,5,3,"['2025-11-03', '2025-11-21']"
Indian Red Cross Society Blood Bank. Narassraopet,16.235919,80.048412,4,1,5,5,2,1,4,2,"['2025-10-25', '2025-11-13']"
NRT Blood Bank,16.193331,80.019956,5,1,5,4,1,5,4,4,"['2025-10-28', '2025-11-16']"
Anjireddy Multi Specality Blood Bank ,16.478789,79.893642,2,2,4,3,5,3,4,3,"['2025-10-26', '2025-11-23']"
Red Cross Blood Bank,16.017425,80.829475,4,2,1,5,6,4,1,6,"['2025-10-31', '2025-11-21']"
Area Hospital (Repeated),16.239531,80.64934,5,3,1,4,4,6,4,1,"['2025-10-30', '2025-11-17']"
APVVP District Hospital Blood Bank,0.0,0.0,4,3,4,4,6,2,2,1,"['2025-10-26', '2025-11-22']"
Rudhira Voluntary Blood Bank,16.243428,80.646397,6,1,1,3,5,6,4,5,"['2025-11-03', '2025-11-15']"
Best Rotary Blood Bank,16.251179,80.64934,6,2,1,5,3,6,1,5,"['2025-11-02', '2025-11-17']"
Area Hospital Blood Bank,16.349045,81.049715,1,1,2,1,6,5,4,2,"['2025-11-07', '2025-11-11']"
Dr. Pattabhi Red Cross Blood Bank ,16.190546,81.136154,5,4,5,4,6,3,1,3,"['2025-11-04', '2025-11-23']"
Government General Hospital (Repeated),16.513339,80.618989,1,1,1,4,3,3,5,5,"['2025-10-29', '2025-11-12']"
Government District Headquarters Hospital machilipatnam blood bank,16.176867,81.138647,5,4,3,1,3,4,5,3,"['2025-10-25', '2025-11-10']"
Rotary Red Cross Blood Bank,16.506174,80.648015,5,4,4,4,3,5,4,3,"['2025-11-06', '2025-11-09']"
Vijaya Sri Blood Bank,16.51304,80.635644,6,2,2,2,6,2,1,4,"['2025-11-07', '2025-11-17']"
Lions Blood Bank,16.506174,80.648015,3,2,2,2,6,2,5,3,"['2025-11-02', '2025-11-21']"
University General Hospital Blood Bank,16.516111,80.670085,3,1,5,4,1,3,6,4,"['2025-10-31', '2025-11-10']"
M/s. Chaitanya Blood Bank,16.498839,80.655488,5,5,6,6,3,4,3,1,"['2025-10-27', '2025-11-14']"
Nagarjuna Hospital Blood Bank,0.0,0.0,4,4,4,2,5,3,2,2,"['2025-11-05', '2025-11-10']"
Saint Ann&#39;s Hospital Blood Bank  ,0.0,0.0,3,5,1,4,1,2,1,3,"['2025-10-27', '2025-11-17']"
Rotary Red Cross Blood Bank (Repeated),0.0,0.0,3,4,2,6,3,5,5,1,"['2025-10-26', '2025-11-11']"
Dr. Pinnamaneni Siddhartha Insitiute of Medical Sciences & Research Foundation (Dr.P.SIMS & RF) Blood Bank  ,16.551655,80.832047,5,5,2,1,4,5,2,1,"['2025-10-31', '2025-11-23']"
Bethesda Blood Bank,16.512971,80.632664,4,1,1,6,3,3,1,4,"['2025-11-07', '2025-11-11']"
"Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank ",16.510309,80.63251,3,4,5,2,4,1,5,2,"['2025-11-08', '2025-11-09']"
Suraksha Voluntary Blood Bank,16.51343,80.632861,2,3,2,2,2,3,4,1,"['2025-11-05', '2025-11-15']"
M/s Ayush Nri Lepl Health Care Private Limited  ,0.0,0.0,3,6,3,4,6,3,4,4,"['2025-11-04', '2025-11-09']"
M/s. Nimra Institute of Medical Sciences ,0.0,0.0,3,6,4,4,1,4,4,2,"['2025-10-29', '2025-11-18']"
"RCH -II Blood Bank, Area Hospital, Adoni",15.632223,77.272837,2,1,2,1,6,2,5,5,"['2025-11-06', '2025-11-21']"
M/s. Indian Red Cross Society Blood Bank RCH 2,15.632223,77.272837,3,5,5,3,3,4,3,3,"['2025-10-29', '2025-11-20']"
M/s. Government General Hospital Blood Bank,15.820654,78.038088,4,4,2,5,1,4,3,5,"['2025-10-31', '2025-11-18']"
M/s. Indian Red Cross Society Blood Bank,15.816357,78.040317,2,3,2,2,2,1,1,1,"['2025-10-26', '2025-11-10']"
M/s. Viswa Bharathi General Hospital Blood Bank,0.0,0.0,4,5,2,2,1,1,4,3,"['2025-11-01', '2025-11-23']"
M/s. Viswa Bharathi Blood Bank,0.0,0.0,5,4,6,4,5,4,4,3,"['2025-11-03', '2025-11-21']"
M/s. R.R. Hospital Blood Bank,15.82872,78.035743,5,2,4,1,1,1,1,5,"['2025-10-30', '2025-11-23']"
District Hospital Blood Bank ,15.469336,78.482935,3,1,6,2,2,6,4,2,"['2025-11-02', '2025-11-13']"
M/s. Shantiram Medical College & General Hospital Blood Bank,0.0,0.0,1,2,3,5,5,4,4,5,"['2025-10-25', '2025-11-21']"
Government Hospital Blood Bank,16.0833,78.8667,3,2,4,2,4,5,2,5,"['2025-11-07', '2025-11-17']"
M/s. Area Hospital Blood Bank,15.825971,80.36127,1,6,6,5,5,4,2,1,"['2025-11-04', '2025-11-17']"
Indian Red Cross Society Blood bank,15.736154,79.269125,1,5,5,4,4,5,1,6,"['2025-11-07', '2025-11-21']"
M/s. RIMS General Hospital Blood Bank,15.487882,80.047144,1,2,5,6,5,5,4,2,"['2025-10-31', '2025-11-09']"
Indian Red Cross Society Blood Bank,15.505723,80.049922,4,5,4,5,6,1,2,5,"['2025-10-26', '2025-11-19']"
M/s. Life Line Volunytary Blood Bank,15.481367,80.05908,3,2,1,5,1,5,4,3,"['2025-10-28', '2025-11-16']"
M/s. Belief Blood Bank,15.481367,80.05908,6,5,4,1,1,5,6,6,"['2025-11-01', '2025-11-20']"
Government Hospital Blood Bank,14.146545,79.848756,2,3,5,1,2,2,1,1,"['2025-10-26', '2025-11-21']"
M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society (IRCS) (REPEATED),0.0,0.0,5,1,4,4,4,3,3,2,"['2025-11-03', '2025-11-23']"
M/s. APVVP Area Hospital Blood Bank,0.0,0.0,6,1,3,6,2,5,6,2,"['2025-10-25', '2025-11-14']"
M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank,14.913181,79.99298,6,4,4,6,4,3,6,6,"['2025-11-06', '2025-11-12']"
Indian Red Cross Society Blood Bank,14.426777,79.959008,2,2,4,6,2,4,4,6,"['2025-11-08', '2025-11-16']"
District Headquarters Hospital (Repeated),14.435424,79.966831,1,6,1,6,1,2,6,2,"['2025-11-04', '2025-11-16']"
D.S.R. Headquarters Hospital Blood Bank,0.0,0.0,4,4,3,6,1,4,5,5,"['2025-10-26', '2025-11-16']"
Narayana Medical College & Hospital Blood Bank,14.442599,79.986456,3,4,2,1,5,3,6,6,"['2025-10-26', '2025-11-22']"
Gems Hospital Blood Bank,18.289087,83.9056,6,2,1,1,4,4,3,3,"['2025-10-25', '2025-11-12']"
GMR Varalakshmi Care Hospital Blood Bank,18.461272,83.658352,4,4,5,1,5,3,6,1,"['2025-10-31', '2025-11-23']"
Rajiv Gandhi Institute of Medical Sciences (RIMS) General Hospital Blood Bank,18.312884,83.887717,6,5,3,4,4,2,5,1,"['2025-10-30', '2025-11-11']"
Indian Red Cross Society (IRCS) Blood Bank,18.296359,83.894549,3,1,5,5,1,5,1,3,"['2025-11-03', '2025-11-18']"
District Hospital,17.689592,82.997733,1,2,3,4,5,5,2,4,"['2025-11-07', '2025-11-13']"
M/s. NTR Area Hospital Blood Bank,17.686427,83.218576,6,4,2,2,3,2,6,6,"['2025-11-03', '2025-11-17']"
M/s. Visakha Steel General Hospital Blood Bank,17.662908,83.144127,1,3,5,4,3,6,6,5,"['2025-10-30', '2025-11-13']"
M/s. INHS Kalyani Blood Bank,0.0,0.0,5,3,1,3,6,3,4,4,"['2025-11-07', '2025-11-23']"
M/s. Anil Neerukonda Hospital  Blood Bank,17.97256,83.432338,4,2,3,2,6,3,2,4,"['2025-11-01', '2025-11-21']"
M/s. King George Hospital (KGH) Blood Bank ,17.70667,83.303737,2,6,5,4,1,3,2,4,"['2025-10-31', '2025-11-20']"
M/s. Government Victoria Hospital Blood Bank,17.686816,83.218482,3,1,5,3,6,3,1,3,"['2025-10-30', '2025-11-15']"
M/s. Indian Red Cross Society Blood Bank ,17.686816,83.218482,6,4,4,6,3,2,6,2,"['2025-10-25', '2025-11-11']"
M/s. Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust),17.686816,83.218482,6,6,2,1,5,5,3,4,"['2025-11-04', '2025-11-13']"
M/s. Apollo Hospital Heart & Kidney Centre Blood Bank,17.717084,83.309208,3,1,3,2,6,1,6,3,"['2025-10-28', '2025-11-11']"
M/s. Seven Hills Hospital Blood Bank,17.71737,83.309268,2,5,5,5,6,4,3,4,"['2025-11-05', '2025-11-10']"
 A. S. Raja Voluntary Blood Bank,17.720274,83.313048,1,3,4,4,2,2,1,3,"['2025-11-02', '2025-11-18']"
M/s. Lions Club of Visakhapatnam Blod Bank Trust  ,17.719063,83.311286,3,3,5,3,6,5,4,3,"['2025-11-07', '2025-11-13']"
M/s. N.T.R. Memorial Trust Blood Bank ,17.691575,83.238891,3,1,2,5,6,5,3,3,"['2025-11-04', '2025-11-21']"
M/s. Gitam Institute of Medical Sciences and Research Blood Bank ,17.784938,83.374975,5,4,6,3,5,6,3,6,"['2025-10-29', '2025-11-22']"
M/s. Gayatri Vidya Parishad Institute of Health Care and Medical Technology,17.689433,83.211615,3,5,2,6,1,4,6,6,"['2025-11-01', '2025-11-18']"
"Indian Red Cross Society Blood Bank, RCH-II",18.781716,83.426752,4,3,5,2,5,1,3,4,"['2025-11-04', '2025-11-12']"
District Headquarters Hospital Blood Bank,18.110022,83.388433,5,2,6,2,6,2,3,3,"['2025-11-03', '2025-11-14']"
Indian Red Cross Society Blood Bank,18.106658,83.395551,2,3,5,3,5,3,6,2,"['2025-10-30', '2025-11-15']"
Srinivasa Nursing Home Blood Bank ,0.0,0.0,1,4,5,1,3,6,5,4,"['2025-11-03', '2025-11-09']"
Maharaja Institute of Medical Sciences Blood Bank,0.0,0.0,5,6,1,5,3,6,5,1,"['2025-10-27', '2025-11-23']"
ASN Raju Charitable Trust Blood Bank,16.54391,81.516237,2,3,6,5,2,5,2,2,"['2025-10-26', '2025-11-18']"
Uddaraju Anandaraju Foundation Blood Bank,16.543064,81.515731,2,4,5,1,5,6,5,5,"['2025-10-30', '2025-11-10']"
M/s. Government Headquarters Hospital Blood Bank,17.006153,81.782132,2,4,6,1,3,4,5,6,"['2025-10-29', '2025-11-11']"
M/s. Indian Red Cross Society Component Blood Bank,16.711919,81.094839,2,4,2,4,4,5,6,3,"['2025-11-07', '2025-11-13']"
M/s. Alluri Sitrarama Raju Academy of Medical Sciences Blood Bank,16.737395,81.146494,1,5,4,1,2,5,5,1,"['2025-10-29', '2025-11-13']"
M/s. Good Samaritan Blood Bank,18.179738,83.39551,6,6,2,6,3,2,5,6,"['2025-11-05', '2025-11-10']"
M/s. Indian Red Cross Society Blood Bank jangareddi gudem,17.125307,81.273907,6,2,2,4,1,4,1,2,"['2025-11-04', '2025-11-13']"
Indian Red Cross Society Blood Bank narasapuram,16.45196,81.680205,1,1,1,2,5,1,1,5,"['2025-10-31', '2025-11-22']"
Palakol Voluntary Blood Bank,16.517455,81.725342,2,2,4,6,4,4,5,2,"['2025-11-01', '2025-11-14']"
Indian Red Cross Society Blood Bank Tanuku  (Repeated),16.757173,81.679963,3,5,4,4,3,5,3,2,"['2025-10-31', '2025-11-19']"
Dr. Mulla Pudi Harischandra Prasad Red Cross Blood Bank,16.757173,81.679963,3,1,1,5,2,2,3,4,"['2025-11-04', '2025-11-16']"
Sri Buddala Narasimhamurty Voluntary Blood Bank,16.414033,80.647085,6,5,6,6,3,3,2,1,"['2025-11-06', '2025-11-21']"
Rajiv Gandhi Institute of Medical Sciences Blood Bank,15.133392,78.514102,3,1,6,3,1,2,1,6,"['2025-10-29', '2025-11-12']"
"Indian Red Cross Society, Blood Bank",14.467354,78.824134,3,2,6,4,5,2,5,6,"['2025-10-26', '2025-11-10']"
Boga Parvathamma Blood Bank ,14.467354,78.824134,4,5,2,5,4,2,2,2,"['2025-11-04', '2025-11-19']"
Rajiv Gandhi Institute of Medical Sciences Blood Bank ,0.0,0.0,6,2,1,6,2,4,6,5,"['2025-11-01', '2025-11-21']"
Fathima Institute of Medical Sciences Blood Bank,0.0,0.0,6,2,4,6,6,2,3,2,"['2025-11-07', '2025-11-15']"
District Hospital Blood Bank ,14.741621,78.550959,2,3,3,6,5,6,4,5,"['2025-10-31', '2025-11-23']"
A.P Vaidyavidhanaparishad Area Hospital Blood Bank,0.0,0.0,1,5,2,3,1,6,5,5,"['2025-10-31', '2025-11-19']"
A.P. Vaidyavidhanaparishad Area Hospital - IRCS Blood Bank ,14.422232,78.226339,6,1,2,3,6,1,2,1,"['2025-11-07', '2025-11-17']"
Changlang District Hospital Blood Bank,27.139258,95.738757,2,4,6,1,1,1,3,2,"['2025-10-28', '2025-11-12']"
Pasighat General Hospital Blood Bank,28.071544,95.325113,6,5,6,6,6,6,5,1,"['2025-10-28', '2025-11-19']"
Lohit District Hospital Blood Bank,27.559574,96.101627,6,3,6,1,3,3,1,3,"['2025-11-05', '2025-11-10']"
General Hospital Ziro  Blood Bank,27.53875,93.822176,4,1,1,5,5,6,1,2,"['2025-10-31', '2025-11-18']"
Ramakrishna Mission Hospital Blood bank,27.086178,93.609065,1,1,5,5,2,4,4,4,"['2025-11-04', '2025-11-14']"
Arunachal State Hospital Blood Bank,27.103121,93.691936,1,3,5,5,3,5,1,5,"['2025-11-05', '2025-11-11']"
Tawang District Hospital Blood Bank,27.588943,91.864896,2,1,3,2,1,1,2,2,"['2025-10-31', '2025-11-10']"
Tawang District Hospital Blood Bank ,0.0,0.0,3,5,1,4,3,3,3,1,"['2025-11-02', '2025-11-18']"
District Hospital Blood Bank,0.0,0.0,3,1,1,6,6,6,4,3,"['2025-11-06', '2025-11-11']"
Upper Siang District Hospital Blood Bank,28.641662,95.025348,3,4,6,3,3,3,1,3,"['2025-11-06', '2025-11-22']"
Upper Subansiri District Hospital Blood Bank,27.981329,94.217428,6,1,3,3,6,1,2,6,"['2025-10-26', '2025-11-23']"
West Siang District Hospital Blood Bank,28.169282,94.801031,6,1,5,5,6,3,6,2,"['2025-10-27', '2025-11-20']"
Fakhruddin Ali Ahmed (FAA) Medical College Hospital Blood Bank,26.323792,90.986661,3,4,2,6,2,5,5,4,"['2025-10-26', '2025-11-21']"
Bongaigaon Civil Hospital Blood Bank,26.456671,90.560234,6,1,5,2,4,4,5,4,"['2025-11-01', '2025-11-11']"
Lower Assam Hospital Blood Bank,26.492861,90.551479,4,5,3,5,5,1,3,2,"['2025-10-28', '2025-11-12']"
Silchar Medical College and Hospital Blood Bank,24.775578,92.794251,6,5,1,4,4,4,1,5,"['2025-11-07', '2025-11-20']"
Indian Red Cross Children Hospital Blood Bank,24.826127,92.796159,1,2,2,3,4,2,2,2,"['2025-11-04', '2025-11-19']"
Barak Blood Bank and Clinical Research Centre,24.808015,92.795242,5,5,6,5,2,4,3,4,"['2025-11-08', '2025-11-11']"
Bongaigaon Refinery (BRPL) Hospital Blood Bank ,26.510577,90.522683,2,3,2,1,6,5,4,4,"['2025-10-27', '2025-11-20']"
Mangaldoi Civil Hospital Blood Bank,26.437551,92.036395,1,2,1,1,2,1,2,3,"['2025-11-06', '2025-11-19']"
Dhemaji Civil Hospital Blood Bank,27.458026,94.574533,4,1,4,5,5,3,2,5,"['2025-11-08', '2025-11-16']"
Dhubri Civil Hospital Blood Bank,26.034365,89.963554,1,6,4,3,4,2,4,4,"['2025-11-04', '2025-11-23']"
Assam Medical College and Hospital Blood Bank,27.486985,94.944179,2,6,4,6,6,5,4,1,"['2025-11-04', '2025-11-19']"
Dr. Damani&#39;s Nursing Home Blood Bank,27.4898858,94.9229632,1,2,6,6,5,1,5,6,"['2025-11-02', '2025-11-16']"
Aditya Diagnostic Hospital Blood Bank,27.491383,94.931116,6,4,5,4,2,2,1,3,"['2025-11-05', '2025-11-12']"
Sri Manta Sankardeva Hospital and Research Centre Blood Bank,0.0,0.0,5,6,2,1,6,2,2,5,"['2025-11-07', '2025-11-11']"
Dirial Central Hospital Blood Bank,0.0,0.0,1,6,5,6,3,6,4,2,"['2025-11-05', '2025-11-10']"
Oil India Limited Hospital Blood Bank,27.359192,95.323648,6,5,3,4,3,3,5,6,"['2025-11-04', '2025-11-23']"
Haflong Civil Hospital Blood Bank ,25.165653,93.024831,1,6,3,1,1,2,5,5,"['2025-11-06', '2025-11-23']"
Goalpara Civil Hospital Blood Bank,26.142267,90.610584,3,4,2,3,1,3,4,3,"['2025-10-29', '2025-11-19']"
Solace Hospital and Research centre Pvt.Ltd Blood bank,26.164643,90.624877,1,6,5,1,2,1,4,5,"['2025-11-07', '2025-11-11']"
Kushal Konwar (KK) Civil Hospital Blood Bank,26.510171,93.964569,6,3,1,6,3,5,3,4,"['2025-11-05', '2025-11-23']"
Vivekananda Kendra NRL Hospital Blood Bank,26.591371,93.749516,3,4,4,6,4,6,1,2,"['2025-10-29', '2025-11-18']"
S. K. Roy Civil Hospital Blood Bank ,24.671769,92.563355,5,6,4,3,4,5,2,6,"['2025-10-28', '2025-11-18']"
Jorhat Medical College and Hospital Blood Bank ,26.742573,94.195109,1,5,4,4,3,3,3,4,"['2025-11-01', '2025-11-17']"
Air Force Hospital Blood Bank,0.0,0.0,2,2,3,1,3,1,4,1,"['2025-11-01', '2025-11-16']"
Greater Jorhat Lions Blood Bank,26.753059,94.185964,3,5,4,6,1,2,2,3,"['2025-10-26', '2025-11-14']"
Mahendra Mohan Choudhury (MMC) Hospital  Blood Bank,26.185505,91.740485,4,2,4,3,4,1,4,3,"['2025-11-04', '2025-11-13']"
Dispur Blood Bank,26.149823,91.786638,1,4,5,4,5,2,1,1,"['2025-10-25', '2025-11-16']"
Saharia&#39;s Path Lab & Blood Bank,26.16274,91.770664,6,2,2,4,1,4,3,5,"['2025-11-03', '2025-11-23']"
International Hospital Blood Bank,26.154059,91.781267,2,6,3,3,1,6,2,1,"['2025-10-31', '2025-11-10']"
Hayat Hospital Blood Bank,26.139171,91.746199,4,6,3,6,2,2,1,5,"['2025-10-29', '2025-11-22']"
Rahman Hospital Private Limited Blood Bank,26.135133,91.809429,5,2,6,1,2,2,4,1,"['2025-10-25', '2025-11-21']"
GNRC Institute of Medical Sciences Blood bank,26.202192,91.693312,2,4,5,5,6,5,3,5,"['2025-10-29', '2025-11-22']"
Central Hospital N. F. Railway Blood Bank,26.151872,91.694899,1,2,4,2,3,5,2,2,"['2025-10-28', '2025-11-13']"
G.N.R.C. Hospital Blood Bank,26.1391,91.794024,6,2,1,2,2,2,1,3,"['2025-11-03', '2025-11-16']"
Guwahati Medical College and Hospital (GMCH) State of The Art Model Blood Bank,26.159914,91.768498,5,6,2,4,5,3,6,4,"['2025-11-07', '2025-11-09']"
Dr. B. Borooah Cancer Institute Blood Bank,26.165087,91.747674,6,6,5,6,4,4,1,2,"['2025-11-05', '2025-11-18']"
Assam Gujarat Voluntary Blood Bank and Research Centre,26.176689,91.753784,5,2,5,4,2,4,4,3,"['2025-11-02', '2025-11-19']"
Down Town Hospital Blood Bank ,26.136151,91.796833,1,4,4,3,3,3,2,5,"['2025-11-08', '2025-11-20']"
Ganga Hospital Blood Bank,26.172081,91.759992,6,4,1,1,5,1,5,3,"['2025-10-27', '2025-11-14']"
 Surakhya  Blood Bank ,26.175065,91.75257,1,2,6,5,1,2,4,5,"['2025-11-05', '2025-11-22']"
Marwari Hospital and Research Centre Blood Bank,26.172012,91.740106,1,3,4,5,3,2,2,2,"['2025-11-03', '2025-11-16']"
151 Base Hospital Blood Bank,26.104222,91.796169,4,5,5,5,1,4,5,1,"['2025-10-25', '2025-11-09']"
Sanjevani Hospital Blood Bank,26.161206,91.70941,3,4,4,3,3,1,4,1,"['2025-10-27', '2025-11-23']"
Narayana Hrudayalaya Limited Blood Bank,26.20775,91.678242,4,5,5,5,3,5,4,1,"['2025-10-30', '2025-11-10']"
Diphu Civil Hospital Blood Bank,25.844281,93.433805,5,5,5,5,3,3,3,3,"['2025-11-01', '2025-11-19']"
Karimganj Civil Hospital Blood Bank,24.867595,92.361806,5,4,5,4,3,6,1,2,"['2025-10-31', '2025-11-18']"
R.N.B. Civil Hospital Blood Bank,26.452881,89.976397,3,2,2,6,2,6,4,1,"['2025-10-26', '2025-11-17']"
North Lakhimpur Civil Hospital Blood Bank,27.242685,94.106483,2,2,6,1,3,2,2,2,"['2025-10-26', '2025-11-19']"
Morigaon Civil Hospital Blood Bank,26.251646,92.354523,5,2,2,4,6,4,2,3,"['2025-11-06', '2025-11-20']"
Haji Abdul Majid Memorial Hospital and Research Centre Blood Bank,26.015994,92.868186,4,3,5,4,1,4,2,2,"['2025-10-27', '2025-11-22']"
Divisional Railway Headquarters Hospital Blood Bank,0.0,0.0,5,5,6,6,5,4,1,1,"['2025-11-04', '2025-11-23']"
B.P. Civil Hospital Blood Bank,26.344942,92.689464,5,2,6,2,6,2,1,2,"['2025-10-29', '2025-11-19']"
North East Blood Bank and Research Centre,26.344263,92.680991,2,1,5,4,2,5,3,3,"['2025-10-25', '2025-11-15']"
S. M. K. Civil Hospital Blood Bank ,26.448222,91.435618,2,4,2,2,3,1,4,6,"['2025-11-06', '2025-11-21']"
Nalbari Maternity Hospital Blood Bank,26.440614,91.43584,4,5,5,4,6,6,4,2,"['2025-10-25', '2025-11-15']"
O.N.G.C. Limited Hospital Blood Bank,26.981201,94.651794,4,2,1,3,2,6,1,2,"['2025-11-06', '2025-11-14']"
Pragati Hospital and Research Centre Blood Bank,26.997865,94.61976,3,2,1,4,6,2,1,1,"['2025-10-30', '2025-11-12']"
Sivasagar Civil Hospital Blood Bank,26.955222,94.611106,2,3,6,6,2,6,3,5,"['2025-10-26', '2025-11-15']"
